
 Version: 2.1
 Chunks: 1
 Start: 2026-09-17 10:14:40 (UTC)
 Duration: 18 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                    107562       2341376
 jdk.ObjectAllocationSample               5265         74440
 jdk.TenuringDistribution                 1365         12504
 jdk.PromoteObjectInNewPLAB               1258         19175
 jdk.ExecutionSample                      1039         10390
 jdk.ModuleExport                          509          4402
 jdk.BooleanFlag                           495         14568
 jdk.MetaspaceChunkFreeListSummary         364          6188
 jdk.GCReferenceStatistics                 364          3277
 jdk.ActiveSetting                         359         10001
 jdk.SystemProcess                         303         16137
 jdk.GCPhasePauseLevel1                    273         10585
 jdk.PromoteObjectOutsidePLAB              217          3071
 jdk.GCHeapSummary                         182          6734
 jdk.MetaspaceSummary                      182          8736
 jdk.G1HeapSummary                         182          4156
 jdk.LongFlag                              161          5056
 jdk.ModuleRequire                         154          1232
 jdk.UnsignedLongFlag                      132          4352
 jdk.Checkpoint                            126        221146
 jdk.NativeLibrary                          96          5971
 jdk.SafepointBegin                         95          1062
 jdk.ExecuteVMOperation                     94          1318
 jdk.GarbageCollection                      91          1459
 jdk.YoungGarbageCollection                 91           911
 jdk.G1GarbageCollection                    91           911
 jdk.G1MMU                                  91          1092
 jdk.EvacuationInformation                  91          2303
 jdk.G1EvacuationYoungStatistics            91          3077
 jdk.G1EvacuationOldStatistics              91          2757
 jdk.G1BasicIHOP                            91          3253
 jdk.G1AdaptiveIHOP                         91          3367
 jdk.GCCPUTime                              91           990
 jdk.GCPhasePause                           91          1821
 jdk.InitialEnvironmentVariable             63          4331
 jdk.InitialSecurityProperty                50          2566
 jdk.ThreadAllocationStatistics             36           308
 jdk.Deoptimization                         33           750
 jdk.NativeMethodSample                     33           330
 jdk.StringFlag                             26           901
 jdk.IntFlag                                25           910
 jdk.JavaErrorThrow                         23          2155
 jdk.ThreadCPULoad                          18           270
 jdk.ResidentSetSize                        17           259
 jdk.CPULoad                                17           306
 jdk.JavaThreadStatistics                   17           170
 jdk.ClassLoadingStatistics                 17           153
 jdk.CompilerStatistics                     17           442
 jdk.ExceptionStatistics                    17           187
 jdk.InitialSystemProperty                  15          2271
 jdk.DoubleFlag                             15           590
 jdk.ThreadEnd                              14           112
 jdk.UnsignedIntFlag                        13           426
 jdk.ThreadStart                             7            71
 jdk.GCHeapMemoryPoolUsage                   6           217
 jdk.ClassLoaderStatistics                   6           148
 jdk.CodeCacheStatistics                     6           174
 jdk.DirectBufferStatistics                  3            66
 jdk.Compilation                             3            75
 jdk.CompilationFailure                      3           162
 jdk.GCHeapMemoryUsage                       2            40
 jdk.OldObjectSample                         2            57
 jdk.NetworkUtilization                      2            25
 jdk.PhysicalMemory                          2            32
 jdk.GCConfiguration                         2            48
 jdk.Metadata                                1        103145
 jdk.Shutdown                                1            46
 jdk.JVMInformation                          1           449
 jdk.OSInformation                           1           114
 jdk.VirtualizationInformation               1            20
 jdk.CPUInformation                          1          1618
 jdk.CPUTimeStampCounter                     1            16
 jdk.ThreadContextSwitchRate                 1            10
 jdk.SymbolTableStatistics                   1            35
 jdk.StringTableStatistics                   1            35
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            42
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            16
 jdk.ActiveRecording                         1            47
