fixture,level,iteration,millis,nodes,completedDepth,col,row,ttHits,ttCutoffs,threatNodes
0,EASY,0,1.444,35,-1,25,24,-1,-1,-1
0,EASY,1,1.461,35,-1,25,24,-1,-1,-1
0,EASY,2,1.721,35,-1,25,24,-1,-1,-1
0,EASY,3,0.960,35,-1,25,24,-1,-1,-1
0,EASY,4,0.955,35,-1,25,24,-1,-1,-1
1,EASY,0,1.829,36,-1,26,24,-1,-1,-1
1,EASY,1,1.821,36,-1,26,24,-1,-1,-1
1,EASY,2,1.528,36,-1,26,24,-1,-1,-1
1,EASY,3,1.314,36,-1,26,24,-1,-1,-1
1,EASY,4,2.681,36,-1,26,24,-1,-1,-1
2,EASY,0,2.989,32,-1,26,26,-1,-1,-1
2,EASY,1,3.679,32,-1,26,26,-1,-1,-1
2,EASY,2,2.543,32,-1,26,26,-1,-1,-1
2,EASY,3,4.524,32,-1,26,26,-1,-1,-1
2,EASY,4,4.598,32,-1,26,26,-1,-1,-1
3,EASY,0,5.114,31,-1,22,20,-1,-1,-1
3,EASY,1,4.045,31,-1,22,20,-1,-1,-1
3,EASY,2,3.968,31,-1,22,20,-1,-1,-1
3,EASY,3,4.795,31,-1,22,20,-1,-1,-1
3,EASY,4,3.314,31,-1,22,20,-1,-1,-1
0,MEDIUM,0,10.908,1322,-1,25,24,-1,-1,-1
0,MEDIUM,1,12.363,1322,-1,25,24,-1,-1,-1
0,MEDIUM,2,12.251,1322,-1,25,24,-1,-1,-1
0,MEDIUM,3,11.888,1322,-1,25,24,-1,-1,-1
0,MEDIUM,4,12.064,1322,-1,25,24,-1,-1,-1
1,MEDIUM,0,12.344,900,-1,26,24,-1,-1,-1
1,MEDIUM,1,11.962,900,-1,26,24,-1,-1,-1
1,MEDIUM,2,12.035,900,-1,26,24,-1,-1,-1
1,MEDIUM,3,11.817,900,-1,26,24,-1,-1,-1
1,MEDIUM,4,11.814,900,-1,26,24,-1,-1,-1
2,MEDIUM,0,15.629,605,-1,26,26,-1,-1,-1
2,MEDIUM,1,16.297,605,-1,26,26,-1,-1,-1
2,MEDIUM,2,17.978,605,-1,26,26,-1,-1,-1
2,MEDIUM,3,15.161,605,-1,26,26,-1,-1,-1
2,MEDIUM,4,16.406,605,-1,26,26,-1,-1,-1
3,MEDIUM,0,19.463,1100,-1,22,20,-1,-1,-1
3,MEDIUM,1,22.383,1100,-1,22,20,-1,-1,-1
3,MEDIUM,2,20.882,1100,-1,22,20,-1,-1,-1
3,MEDIUM,3,18.861,1100,-1,22,20,-1,-1,-1
3,MEDIUM,4,18.908,1100,-1,22,20,-1,-1,-1
0,HARD,0,333.689,39675,-1,25,24,-1,-1,-1
0,HARD,1,325.245,39675,-1,25,24,-1,-1,-1
0,HARD,2,327.501,39675,-1,25,24,-1,-1,-1
0,HARD,3,332.428,39675,-1,25,24,-1,-1,-1
0,HARD,4,332.735,39675,-1,25,24,-1,-1,-1
1,HARD,0,919.365,22501,-1,26,24,-1,-1,-1
1,HARD,1,876.458,22501,-1,26,24,-1,-1,-1
1,HARD,2,924.331,22501,-1,26,24,-1,-1,-1
1,HARD,3,906.470,22501,-1,26,24,-1,-1,-1
1,HARD,4,932.584,22501,-1,26,24,-1,-1,-1
2,HARD,0,227.518,8431,-1,26,26,-1,-1,-1
2,HARD,1,227.800,8431,-1,26,26,-1,-1,-1
2,HARD,2,227.410,8431,-1,26,26,-1,-1,-1
2,HARD,3,227.056,8431,-1,26,26,-1,-1,-1
2,HARD,4,221.488,8431,-1,26,26,-1,-1,-1
3,HARD,0,815.669,43045,-1,22,20,-1,-1,-1
3,HARD,1,803.469,43045,-1,22,20,-1,-1,-1
3,HARD,2,799.594,43045,-1,22,20,-1,-1,-1
3,HARD,3,995.464,43045,-1,22,20,-1,-1,-1
3,HARD,4,2042.044,36864,-1,22,20,-1,-1,-1
