fixture,level,iteration,millis,nodes,completedDepth,col,row,ttHits,ttCutoffs,threatNodes
0,EASY,0,3.276,35,2,25,24,8,0,27
0,EASY,1,3.330,35,2,25,24,8,0,27
0,EASY,2,2.416,35,2,25,24,8,0,27
0,EASY,3,2.602,35,2,25,24,8,0,27
0,EASY,4,1.939,35,2,25,24,8,0,27
1,EASY,0,7.056,33,2,26,24,8,0,51
1,EASY,1,5.831,33,2,26,24,8,0,51
1,EASY,2,4.486,33,2,26,24,8,0,51
1,EASY,3,5.302,33,2,26,24,8,0,51
1,EASY,4,3.240,33,2,26,24,8,0,51
2,EASY,0,3.406,24,2,26,26,8,0,102
2,EASY,1,3.793,24,2,26,26,8,0,102
2,EASY,2,3.092,24,2,26,26,8,0,102
2,EASY,3,2.985,24,2,26,26,8,0,102
2,EASY,4,3.044,24,2,26,26,8,0,102
3,EASY,0,4.271,38,2,22,20,8,0,111
3,EASY,1,3.842,38,2,22,20,8,0,111
3,EASY,2,2.901,38,2,22,20,8,0,111
3,EASY,3,3.068,38,2,22,20,8,0,111
3,EASY,4,5.322,38,2,22,20,8,0,111
0,MEDIUM,0,14.329,788,4,25,24,265,29,544
0,MEDIUM,1,18.311,788,4,25,24,265,29,544
0,MEDIUM,2,18.197,788,4,25,24,265,29,544
0,MEDIUM,3,13.502,788,4,25,24,265,29,544
0,MEDIUM,4,13.066,788,4,25,24,265,29,544
1,MEDIUM,0,16.398,463,4,26,24,181,5,719
1,MEDIUM,1,16.891,463,4,26,24,181,5,719
1,MEDIUM,2,20.164,463,4,26,24,181,5,719
1,MEDIUM,3,16.097,463,4,26,24,181,5,719
1,MEDIUM,4,16.595,463,4,26,24,181,5,719
2,MEDIUM,0,14.387,269,4,26,26,115,2,936
2,MEDIUM,1,14.393,269,4,26,26,115,2,936
2,MEDIUM,2,13.448,269,4,26,26,115,2,936
2,MEDIUM,3,12.487,269,4,26,26,115,2,936
2,MEDIUM,4,14.248,269,4,26,26,115,2,936
3,MEDIUM,0,28.272,750,4,22,20,235,18,1830
3,MEDIUM,1,30.723,750,4,22,20,235,18,1830
3,MEDIUM,2,29.349,750,4,22,20,235,18,1830
3,MEDIUM,3,30.076,750,4,22,20,235,18,1830
3,MEDIUM,4,30.344,750,4,22,20,235,18,1830
0,HARD,0,412.483,27514,6,27,24,8514,2471,22344
0,HARD,1,435.446,27514,6,27,24,8514,2471,22344
0,HARD,2,426.531,27514,6,27,24,8514,2471,22344
0,HARD,3,950.018,27514,6,27,24,8514,2471,22344
0,HARD,4,1219.631,27514,6,27,24,8514,2471,22344
1,HARD,0,449.905,3876,6,26,24,1865,100,7824
1,HARD,1,464.124,3876,6,26,24,1865,100,7824
1,HARD,2,410.815,3876,6,26,24,1865,100,7824
1,HARD,3,403.230,3876,6,26,24,1865,100,7824
1,HARD,4,441.856,3876,6,26,24,1865,100,7824
2,HARD,0,431.510,2842,6,26,26,871,105,10480
2,HARD,1,385.845,2842,6,26,26,871,105,10480
2,HARD,2,431.524,2842,6,26,26,871,105,10480
2,HARD,3,380.533,2842,6,26,26,871,105,10480
2,HARD,4,417.665,2842,6,26,26,871,105,10480
3,HARD,0,1295.319,9887,6,22,20,4025,402,26121
3,HARD,1,1127.628,9887,6,22,20,4025,402,26121
3,HARD,2,1204.727,9887,6,22,20,4025,402,26121
3,HARD,3,1111.466,9887,6,22,20,4025,402,26121
3,HARD,4,1225.622,9887,6,22,20,4025,402,26121
