
 Version: 2.1
 Chunks: 1
 Start: 2026-09-17 10:14:59 (UTC)
 Duration: 13 s

 Event Type                              Count  Size (bytes) 
=============================================================
 jdk.GCPhaseParallel                     77814       1694133
 jdk.ObjectAllocationSample               3729         52729
 jdk.PromoteObjectInNewPLAB               3171         49619
 jdk.TenuringDistribution                  990         10680
 jdk.ExecutionSample                       649          6490
 jdk.ModuleExport                          509          4452
 jdk.BooleanFlag                           495         14568
 jdk.ActiveSetting                         359         10001
 jdk.SystemProcess                         307         16266
 jdk.MetaspaceChunkFreeListSummary         264          4488
 jdk.GCReferenceStatistics                 264          2377
 jdk.PromoteObjectOutsidePLAB              199          2818
 jdk.GCPhasePauseLevel1                    198          7686
 jdk.Checkpoint                            165        345282
 jdk.LongFlag                              161          5056
 jdk.ModuleRequire                         154          1232
 jdk.GCHeapSummary                         132          4884
 jdk.MetaspaceSummary                      132          6336
 jdk.G1HeapSummary                         132          3150
 jdk.UnsignedLongFlag                      132          4352
 jdk.NativeLibrary                          96          5971
 jdk.SafepointBegin                         70           795
 jdk.ExecuteVMOperation                     70          1029
 jdk.Deoptimization                         68          1566
 jdk.GarbageCollection                      66          1209
 jdk.YoungGarbageCollection                 66           711
 jdk.G1GarbageCollection                    66           711
 jdk.G1MMU                                  66           792
 jdk.EvacuationInformation                  66          1775
 jdk.G1EvacuationYoungStatistics            66          2451
 jdk.G1EvacuationOldStatistics              66          2246
 jdk.G1BasicIHOP                            66          2458
 jdk.G1AdaptiveIHOP                         66          2442
 jdk.GCCPUTime                              66           870
 jdk.GCPhasePause                           66          1371
 jdk.InitialEnvironmentVariable             63          4331
 jdk.InitialSecurityProperty                50          2566
 jdk.ThreadAllocationStatistics             36           308
 jdk.OldObjectSample                        34          1005
 jdk.StringFlag                             26           898
 jdk.IntFlag                                25           910
 jdk.JavaErrorThrow                         25          2399
 jdk.NativeMethodSample                     20           200
 jdk.ThreadCPULoad                          16           240
 jdk.InitialSystemProperty                  15          2268
 jdk.DoubleFlag                             15           590
 jdk.UnsignedIntFlag                        13           426
 jdk.ResidentSetSize                        12           184
 jdk.ThreadEnd                              12            96
 jdk.CPULoad                                12           216
 jdk.JavaThreadStatistics                   12           120
 jdk.ClassLoadingStatistics                 12           108
 jdk.CompilerStatistics                     12           324
 jdk.ExceptionStatistics                    12           132
 jdk.Compilation                             9           226
 jdk.GCHeapMemoryPoolUsage                   6           216
 jdk.ClassLoaderStatistics                   6           148
 jdk.CodeCacheStatistics                     6           174
 jdk.ThreadStart                             5            51
 jdk.CompilationFailure                      3           162
 jdk.DirectBufferStatistics                  2            44
 jdk.GCHeapMemoryUsage                       2            40
 jdk.PhysicalMemory                          2            32
 jdk.GCConfiguration                         2            48
 jdk.Metadata                                1        103145
 jdk.Shutdown                                1            46
 jdk.JVMInformation                          1           445
 jdk.OSInformation                           1           114
 jdk.VirtualizationInformation               1            20
 jdk.CPUInformation                          1          1618
 jdk.CPUTimeStampCounter                     1            16
 jdk.ThreadContextSwitchRate                 1            10
 jdk.NetworkUtilization                      1            13
 jdk.SymbolTableStatistics                   1            35
 jdk.StringTableStatistics                   1            35
 jdk.CompilerConfiguration                   1             9
 jdk.CodeCacheConfiguration                  1            42
 jdk.GCSurvivorConfiguration                 1             9
 jdk.GCTLABConfiguration                     1            11
 jdk.GCHeapConfiguration                     1            26
 jdk.YoungGenerationConfiguration            1            16
 jdk.ActiveRecording                         1            47
 jdk.VirtualThreadSubmitFailed               0             0
 jdk.X509Certificate                         0             0
 jdk.X509Validation                          0             0
 jdk.ThreadPark                              0             0
 jdk.JavaMonitorEnter                        0             0
 jdk.JavaMonitorWait                         0             0
 jdk.JavaMonitorInflate                      0             0
 jdk.SyncOnValueBasedClass                   0             0
 jdk.ContinuationFreeze                      0             0
 jdk.ContinuationThaw                        0             0
 jdk.ContinuationFreezeFast                  0             0
 jdk.ContinuationFreezeSlow                  0             0
 jdk.ContinuationThawFast                    0             0
 jdk.ContinuationThawSlow                    0             0
 jdk.ReservedStackActivation                 0             0
 jdk.ClassLoad                               0             0
 jdk.ClassDefine                             0             0
 jdk.ClassRedefinition                       0             0
 jdk.RedefineClasses                         0             0
 jdk.RetransformClasses                      0             0
 jdk.ClassUnload                             0             0
 jdk.IntFlagChanged                          0             0
 jdk.UnsignedIntFlagChanged                  0             0
 jdk.LongFlagChanged                         0             0
 jdk.UnsignedLongFlagChanged                 0             0
 jdk.DoubleFlagChanged                       0             0
 jdk.BooleanFlagChanged                      0             0
 jdk.StringFlagChanged                       0             0
 jdk.MetaspaceGCThreshold                    0             0
 jdk.MetaspaceAllocationFailure              0             0
 jdk.MetaspaceOOM                            0             0
 jdk.PSHeapSummary                           0             0
 jdk.SystemGC                                0             0
 jdk.ParallelOldGarbageCollection            0             0
