fixture,level,iteration,millis,nodes,completedDepth,col,row,ttHits,ttCutoffs,threatNodes
0,EASY,0,3.036,35,2,25,24,8,0,27
0,EASY,1,4.433,35,2,25,24,8,0,27
0,EASY,2,2.755,35,2,25,24,8,0,27
0,EASY,3,4.152,35,2,25,24,8,0,27
0,EASY,4,2.730,35,2,25,24,8,0,27
1,EASY,0,5.000,33,2,26,24,8,0,51
1,EASY,1,4.224,33,2,26,24,8,0,51
1,EASY,2,4.090,33,2,26,24,8,0,51
1,EASY,3,2.488,33,2,26,24,8,0,51
1,EASY,4,5.642,33,2,26,24,8,0,51
2,EASY,0,6.590,24,2,26,26,8,0,102
2,EASY,1,6.771,24,2,26,26,8,0,102
2,EASY,2,6.984,24,2,26,26,8,0,102
2,EASY,3,7.352,24,2,26,26,8,0,102
2,EASY,4,7.503,24,2,26,26,8,0,102
3,EASY,0,2.888,38,2,22,20,8,0,111
3,EASY,1,2.888,38,2,22,20,8,0,111
3,EASY,2,2.891,38,2,22,20,8,0,111
3,EASY,3,3.396,38,2,22,20,8,0,111
3,EASY,4,4.515,38,2,22,20,8,0,111
0,MEDIUM,0,15.316,788,4,25,24,265,29,544
0,MEDIUM,1,15.242,788,4,25,24,265,29,544
0,MEDIUM,2,14.098,788,4,25,24,265,29,544
0,MEDIUM,3,16.697,788,4,25,24,265,29,544
0,MEDIUM,4,13.913,788,4,25,24,265,29,544
1,MEDIUM,0,15.074,463,4,26,24,181,5,719
1,MEDIUM,1,21.801,463,4,26,24,181,5,719
1,MEDIUM,2,13.745,463,4,26,24,181,5,719
1,MEDIUM,3,13.787,463,4,26,24,181,5,719
1,MEDIUM,4,15.861,463,4,26,24,181,5,719
2,MEDIUM,0,13.018,269,4,26,26,115,2,936
2,MEDIUM,1,13.893,269,4,26,26,115,2,936
2,MEDIUM,2,13.694,269,4,26,26,115,2,936
2,MEDIUM,3,13.329,269,4,26,26,115,2,936
2,MEDIUM,4,14.818,269,4,26,26,115,2,936
3,MEDIUM,0,30.097,750,4,22,20,235,18,1830
3,MEDIUM,1,29.019,750,4,22,20,235,18,1830
3,MEDIUM,2,29.793,750,4,22,20,235,18,1830
3,MEDIUM,3,28.682,750,4,22,20,235,18,1830
3,MEDIUM,4,30.228,750,4,22,20,235,18,1830
0,HARD,0,1350.199,26526,5,27,24,8051,2403,21507
0,HARD,1,1350.079,26723,5,27,24,8141,2412,21678
0,HARD,2,1350.076,28964,6,27,24,8910,2617,23677
0,HARD,3,1350.199,26973,5,27,24,8251,2429,21907
0,HARD,4,1350.080,28616,6,27,24,8782,2528,23429
1,HARD,0,441.536,3876,6,26,24,1865,100,7824
1,HARD,1,470.332,3876,6,26,24,1865,100,7824
1,HARD,2,426.046,3876,6,26,24,1865,100,7824
1,HARD,3,424.454,3876,6,26,24,1865,100,7824
1,HARD,4,446.659,3876,6,26,24,1865,100,7824
2,HARD,0,1067.980,6345,7,26,26,1906,231,33722
2,HARD,1,1082.700,6345,7,26,26,1906,231,33722
2,HARD,2,1037.914,6345,7,26,26,1906,231,33722
2,HARD,3,947.159,6345,7,26,26,1906,231,33722
2,HARD,4,1000.594,6345,7,26,26,1906,231,33722
3,HARD,0,1350.099,13630,6,22,20,4635,539,30543
3,HARD,1,1350.093,15160,6,22,20,5036,565,32611
3,HARD,2,1350.197,15471,6,22,20,5242,567,32942
3,HARD,3,1350.561,12433,6,22,20,4411,467,29272
3,HARD,4,1350.107,10697,6,22,20,4230,434,27132
