variant,fixture,level,iteration,millis,nodes,completedDepth,ttHits,ttCutoffs,threatNodes
baseline,0,EASY,0,1.218,35,-1,-1,-1,-1
depth6,0,EASY,0,2.687,35,2,8,0,27
depth6,0,EASY,1,3.635,35,2,8,0,27
baseline,0,EASY,1,0.967,35,-1,-1,-1,-1
baseline,0,EASY,2,1.080,35,-1,-1,-1,-1
depth6,0,EASY,2,2.293,35,2,8,0,27
depth6,0,EASY,3,2.069,35,2,8,0,27
baseline,0,EASY,3,0.676,35,-1,-1,-1,-1
baseline,0,EASY,4,0.876,35,-1,-1,-1,-1
depth6,0,EASY,4,1.781,35,2,8,0,27
baseline,1,EASY,0,2.779,36,-1,-1,-1,-1
depth6,1,EASY,0,2.558,33,2,8,0,51
depth6,1,EASY,1,4.099,33,2,8,0,51
baseline,1,EASY,1,2.084,36,-1,-1,-1,-1
baseline,1,EASY,2,1.092,36,-1,-1,-1,-1
depth6,1,EASY,2,1.833,33,2,8,0,51
depth6,1,EASY,3,1.702,33,2,8,0,51
baseline,1,EASY,3,0.955,36,-1,-1,-1,-1
baseline,1,EASY,4,1.454,36,-1,-1,-1,-1
depth6,1,EASY,4,1.799,33,2,8,0,51
baseline,2,EASY,0,1.565,32,-1,-1,-1,-1
depth6,2,EASY,0,5.119,24,2,8,0,102
depth6,2,EASY,1,5.188,24,2,8,0,102
baseline,2,EASY,1,1.419,32,-1,-1,-1,-1
baseline,2,EASY,2,3.198,32,-1,-1,-1,-1
depth6,2,EASY,2,3.370,24,2,8,0,102
depth6,2,EASY,3,3.252,24,2,8,0,102
baseline,2,EASY,3,3.811,32,-1,-1,-1,-1
baseline,2,EASY,4,1.498,32,-1,-1,-1,-1
depth6,2,EASY,4,2.532,24,2,8,0,102
baseline,3,EASY,0,1.107,31,-1,-1,-1,-1
depth6,3,EASY,0,2.266,38,2,8,0,111
depth6,3,EASY,1,2.524,38,2,8,0,111
baseline,3,EASY,1,1.240,31,-1,-1,-1,-1
baseline,3,EASY,2,1.278,31,-1,-1,-1,-1
depth6,3,EASY,2,2.718,38,2,8,0,111
depth6,3,EASY,3,2.457,38,2,8,0,111
baseline,3,EASY,3,1.652,31,-1,-1,-1,-1
baseline,3,EASY,4,1.171,31,-1,-1,-1,-1
depth6,3,EASY,4,2.700,38,2,8,0,111
baseline,0,MEDIUM,0,11.477,1322,-1,-1,-1,-1
depth6,0,MEDIUM,0,13.527,788,4,265,29,544
depth6,0,MEDIUM,1,15.026,788,4,265,29,544
baseline,0,MEDIUM,1,9.905,1322,-1,-1,-1,-1
baseline,0,MEDIUM,2,9.776,1322,-1,-1,-1,-1
depth6,0,MEDIUM,2,11.145,788,4,265,29,544
depth6,0,MEDIUM,3,11.762,788,4,265,29,544
baseline,0,MEDIUM,3,13.831,1322,-1,-1,-1,-1
baseline,0,MEDIUM,4,11.581,1322,-1,-1,-1,-1
depth6,0,MEDIUM,4,10.078,788,4,265,29,544
baseline,1,MEDIUM,0,11.896,900,-1,-1,-1,-1
depth6,1,MEDIUM,0,14.789,463,4,181,5,719
depth6,1,MEDIUM,1,12.392,463,4,181,5,719
baseline,1,MEDIUM,1,14.070,900,-1,-1,-1,-1
baseline,1,MEDIUM,2,11.880,900,-1,-1,-1,-1
depth6,1,MEDIUM,2,12.171,463,4,181,5,719
depth6,1,MEDIUM,3,12.180,463,4,181,5,719
baseline,1,MEDIUM,3,11.869,900,-1,-1,-1,-1
baseline,1,MEDIUM,4,12.459,900,-1,-1,-1,-1
depth6,1,MEDIUM,4,14.028,463,4,181,5,719
baseline,2,MEDIUM,0,16.488,605,-1,-1,-1,-1
depth6,2,MEDIUM,0,12.530,269,4,115,2,936
depth6,2,MEDIUM,1,12.135,269,4,115,2,936
baseline,2,MEDIUM,1,16.090,605,-1,-1,-1,-1
baseline,2,MEDIUM,2,18.059,605,-1,-1,-1,-1
depth6,2,MEDIUM,2,12.380,269,4,115,2,936
depth6,2,MEDIUM,3,12.416,269,4,115,2,936
baseline,2,MEDIUM,3,16.175,605,-1,-1,-1,-1
baseline,2,MEDIUM,4,16.176,605,-1,-1,-1,-1
depth6,2,MEDIUM,4,12.075,269,4,115,2,936
baseline,3,MEDIUM,0,19.204,1100,-1,-1,-1,-1
depth6,3,MEDIUM,0,27.733,750,4,235,18,1830
depth6,3,MEDIUM,1,26.597,750,4,235,18,1830
baseline,3,MEDIUM,1,21.112,1100,-1,-1,-1,-1
baseline,3,MEDIUM,2,19.416,1100,-1,-1,-1,-1
depth6,3,MEDIUM,2,29.246,750,4,235,18,1830
depth6,3,MEDIUM,3,26.296,750,4,235,18,1830
baseline,3,MEDIUM,3,19.261,1100,-1,-1,-1,-1
baseline,3,MEDIUM,4,19.331,1100,-1,-1,-1,-1
depth6,3,MEDIUM,4,28.234,750,4,235,18,1830
baseline,0,HARD,0,1034.872,39675,-1,-1,-1,-1
depth6,0,HARD,0,1106.051,27514,6,8514,2471,22344
depth6,0,HARD,1,1020.839,27514,6,8514,2471,22344
baseline,0,HARD,1,971.190,39675,-1,-1,-1,-1
baseline,0,HARD,2,1061.050,39675,-1,-1,-1,-1
depth6,0,HARD,2,1061.279,27514,6,8514,2471,22344
depth6,0,HARD,3,1136.917,27514,6,8514,2471,22344
baseline,0,HARD,3,957.388,39675,-1,-1,-1,-1
baseline,0,HARD,4,1015.396,39675,-1,-1,-1,-1
depth6,0,HARD,4,1080.383,27514,6,8514,2471,22344
