"level","fixture","baselineMedianMs","optimizedMedianMs","reductionPercent","baselineMaxMs","optimizedMaxMs"
"EASY","0","0.967","2.293","-137.13","1.218","3.635"
"EASY","1","1.454","1.833","-26.07","2.779","4.099"
"EASY","2","1.565","3.37","-115.34","3.811","5.188"
"EASY","3","1.24","2.524","-103.55","1.652","2.718"
"MEDIUM","0","11.477","11.762","-2.48","13.831","15.026"
"MEDIUM","1","11.896","12.392","-4.17","14.07","14.789"
"MEDIUM","2","16.176","12.38","23.47","18.059","12.53"
"MEDIUM","3","19.331","27.733","-43.46","21.112","29.246"
"HARD","0","1015.396","1080.383","-6.4","1061.05","1136.917"
"HARD","1","862.979","318.529","63.09","948.954","325.717"
"HARD","2","612.583","328.518","46.37","673.429","349.831"
"HARD","3","2037.631","1004.458","50.7","2060.59","1162.22"
